date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:29	994/994	---M--	200	added ('OK')	image/gif	etag:%2270181fc-3e2-449588bc90780%22	http://plasserre.developpez.com/acceuil.gif	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/acceuil.gif	(from http://plasserre.developpez.com/)
18:10:30	3592/3592	---M--	200	added ('OK')	image/jpeg	etag:%2270183b5-e08-44958759cc280%22	http://plasserre.developpez.com/vhom.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vhom.JPG	(from http://plasserre.developpez.com/)
18:10:30	1019/1019	---M--	200	added ('OK')	image/gif	etag:%227018219-3fb-4495888728980%22	http://plasserre.developpez.com/mail.gif	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/mail.gif	(from http://plasserre.developpez.com/)
18:10:30	9906/9906	---M--	200	added ('OK')	image/jpeg	etag:%2270182a2-26b2-449587897b300%22	http://plasserre.developpez.com/vfond.jpg	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vfond.jpg	(from http://plasserre.developpez.com/)
18:10:30	1169/1169	---M--	200	added ('OK')	image/gif	etag:%2270182bf-491-4495885779900%22	http://plasserre.developpez.com/vnet.gif	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vnet.gif	(from http://plasserre.developpez.com/)
18:10:32	58319/58319	---M--	200	added ('OK')	text/html	etag:%2270182c5-e3cf-45e523ac28b40%22	http://plasserre.developpez.com/vsommair.htm	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vsommair.htm	(from http://plasserre.developpez.com/)
18:10:33	2124/2124	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202008%2018:15:40%20GMT	http://plasserre.developpez.com/moteur-recherche.php	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/moteur-recherche.html	(from http://plasserre.developpez.com/)
18:10:33	1607/1607	---M--	200	added ('OK')	image/gif	etag:%227018342-647-44958856856c0%22	http://plasserre.developpez.com/vnouveau.gif	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vnouveau.gif	(from http://plasserre.developpez.com/)
18:10:33	1356/1356	---M--	200	added ('OK')	image/gif	etag:%2270183ee-54c-4495873d2ff00%22	http://plasserre.developpez.com/vbtrech.GIF	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vbtrech.GIF	(from http://plasserre.developpez.com/)
18:10:33	1020/1020	---M--	200	added ('OK')	image/jpeg	etag:%227018370-3fc-4495880946080%22	http://plasserre.developpez.com/video2.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/video2.JPG	(from http://plasserre.developpez.com/)
18:10:34	188/188	---M--	200	added ('OK')	image/gif	etag:%227018202-bc-449588b3fb340%22	http://plasserre.developpez.com/croix.gif	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/croix.gif	(from http://plasserre.developpez.com/)
18:10:34	3894/3894	---M--	200	added ('OK')	image/gif	etag:%227018222-f36-4495887e93540%22	http://plasserre.developpez.com/Piece.gif	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/Piece.gif	(from http://plasserre.developpez.com/ldf.htm)
18:10:44	54755/54755	---M--	200	added ('OK')	image/jpeg	etag:%22701847d-d5e3-4495e84496a80%22	http://plasserre.developpez.com/ldfecrandep.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/ldfecrandep.JPG	(from http://plasserre.developpez.com/ldf.htm)
18:10:45	7501/7501	---M--	200	added ('OK')	image/gif	etag:%227018210-1d4d-449588938e6c0%22	http://plasserre.developpez.com/groupe.gif	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/groupe.gif	(from http://plasserre.developpez.com/ldf.htm)
18:10:46	65332/65332	---M--	200	added ('OK')	image/jpeg	etag:%22701847c-ff34-4495e842ae600%22	http://plasserre.developpez.com/ldfecrananal.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/ldfecrananal.JPG	(from http://plasserre.developpez.com/ldf.htm)
18:10:49	165406/165406	---M--	200	added ('OK')	text/x-c	etag:%22701821b-2861e-4495888540500%22	http://plasserre.developpez.com/medical.dic	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/medical.dic	(from http://plasserre.developpez.com/)
18:10:50	100948/100948	---M--	200	added ('OK')	image/jpeg	etag:%22701847e-18a54-4495e84867380%22	http://plasserre.developpez.com/ldfecranprinc.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/ldfecranprinc.JPG	(from http://plasserre.developpez.com/ldf.htm)
18:10:56	71207/71207	---M--	200	added ('OK')	image/jpeg	etag:%22701847a-11627-4497d895a9fc0%22	http://plasserre.developpez.com/ldfecran20351.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/ldfecran20351.JPG	(from http://plasserre.developpez.com/ldf.htm)
18:10:57	2970/2970	---M--	200	added ('OK')	image/jpeg	etag:%22701844e-b9a-449586d90d2c0%22	http://plasserre.developpez.com/vcharger.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vcharger.JPG	(from http://plasserre.developpez.com/ldf.htm)
18:10:58	22197/22197	---M--	200	added ('OK')	text/html	etag:%227018340-56b5-449586f791ac0%22	http://plasserre.developpez.com/vadress.htm	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vadress.htm	(from http://plasserre.developpez.com/vbintro2.htm)
18:10:59	898/898	---M--	200	added ('OK')	image/jpeg	etag:%22701844b-382-449586fb623c0%22	http://plasserre.developpez.com/vhome2.JPG	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vhome2.JPG	(from http://plasserre.developpez.com/vbintro2.htm)
18:11:01	63653/63653	---M--	200	added ('OK')	text/html	etag:%2270182b5-f8a5-4495873d2ff00%22	http://plasserre.developpez.com/vindex.htm	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vindex.htm	(from http://plasserre.developpez.com/vbintro2.htm)
18:11:02	1343/1343	---M--	200	added ('OK')	image/gif	etag:%22701827e-53f-4495887509ec0%22	http://plasserre.developpez.com/vbtind.GIF	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vbtind.GIF	(from http://plasserre.developpez.com/vbintro2.htm)
18:11:02	3851/3851	---M--	200	added ('OK')	text/html	etag:%22701827b-f0b-449587142de40%22	http://plasserre.developpez.com/vbintro.htm	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/vbintro.htm	(from http://plasserre.developpez.com/vbintro2.htm)
18:11:07	28446/28446	---M--	200	added ('OK')	image/bmp	etag:%2270181ef-6f1e-45e523ad1cd80%22	http://plasserre.developpez.com/noel.bmp	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/noel.bmp	(from http://plasserre.developpez.com/vbintro2.htm)
18:11:08	14997/14997	---M--	200	added ('OK')	text/html	etag:%227018227-3a95-449586e296940%22	http://plasserre.developpez.com/v0-0.htm	C:/Mes%20Sites%20Web/Cours%20VB.Net/plasserre.developpez.com/v0-0.htm	(from http://plasserre.developpez.com/vbintro2.htm)
